namaste_code,english_name,sanskrit_term,system,definition,biomedical_code,biomedical_title,biomedical_definition,tm2_code,tm2_title
AAB-37,Sciatica (due only to vātadōṣa),गृध्रसी (केवलवात),Ayurveda,Radiating pain along the sciatic nerve pathway attributed to aggravated Vata dosha affecting the kati and pada pradesha.,ME84.3,Sciatica,Pain in the distribution of the sciatic nerve.,TM2-SP70,Vata vyadhi affecting lower limb
AAB-23,Earache/Otalgia,कर्णशूल,Ayurveda,Pain localised to the ear attributed to vitiated Vata in the karna region.,AB70.2,Otalgia,Pain sensation localized to the ear.,NA,NA
AAB-8,Tinnitus,कर्णनाद,Ayurveda,Perception of ringing or buzzing sound in the ear without external source; linked to Vata dosha vitiation in karna srotas.,MC41,Tinnitus,Perception of sound in the absence of an external auditory stimulus.,TM2-SP41,Karna nada (Vata pradhana)
AAB-22,Hoarseness of voice disorder,स्वरभेद,Ayurveda,Alteration or roughness of voice attributed to vitiation of Vata and Kapha in the swara-vaha srotas.,MA82.10,Hoarseness,Abnormal changes in voice quality with altered vibration of the vocal folds.,NA,NA
AAB-7,Ageusia disorder,अरुचि/जिह्वा अस्वाद,Ayurveda,Loss or disturbance of taste sensation attributed to Kapha-Vata dosha imbalance affecting rasana indriya.,MB41.2,Dysgeusia,Distorted or reduced sense of taste.,NA,NA
AAC-14,Amlapitta (hyperacidity),अम्लपित्त,Ayurveda,Digestive disorder characterised by sour eructation and burning sensation attributed to vitiated Pitta dosha.,DA42.0,Gastro-oesophageal reflux disease,Reflux of gastric contents causing troublesome symptoms.,TM2-DA12,Amlapitta (Pitta pradhana)
AAC-9,Jwara (fever),ज्वर,Ayurveda,Elevation of body temperature associated with dosha imbalance and ama accumulation.,MG30,Fever of unknown origin,Elevated body temperature without an identified cause after evaluation.,TM2-GN10,Sannipatika jwara
EA-3,Kasa (cough),कास,Ayurveda,Reflex expulsion of air from the respiratory tract attributed to vitiated Vata and Kapha in the pranavaha srotas.,MD12,Cough,"A sudden, often repetitive, reflex that helps clear the large airways.",SL41,Cough disorder
AAD-5,Shirashoola (headache),शिरःशूल,Ayurveda,Pain localised to the head region attributed to dosha vitiation, most commonly Vata.,8A80,Headache disorders,A disorder characterised by recurrent or persistent head pain.,TM2-NP30,Vataja shirashoola
AAE-11,Vicharchika (eczema),विचर्चिका,Ayurveda,Chronic inflammatory skin condition with itching, discharge and Kapha-Pitta dosha vitiation of the twak dhatu.,EA80,Eczema,Chronic relapsing inflammatory skin condition with pruritus.,NA,NA
AAE-3,Prameha (metabolic/urinary disorder),प्रमेह,Ayurveda,Group of disorders characterised by abnormal urine and metabolic disturbance attributed to Kapha-Meda dosha vitiation.,5A11,Type 2 diabetes mellitus,A metabolic disorder characterised by chronic hyperglycaemia.,TM2-EN14,Madhumeha (Kaphaja prameha)
AAF-6,Unmada (mental disorder),उन्माद,Ayurveda,Disturbance of manas (mind) attributed to dosha vitiation affecting cognition and behaviour.,NA,NA,NA,NA,NA
